text,claim_EN,label,vaccine_type,is_covid,source,url
"АНУ-ын Өвчний хяналт, урьдчилан сэргийлэх төв (CDC), Эрүүл мэндийн яам болон Дархлаажуулалтын зөвлөх хороо (ACIP)-ны мэдэгдэлд нярайд хийдэг гепатит В-ийн вакцин аутизм үүсгэдэг гэсэн агуулга байхгүй.","Statements from the US CDC, the Ministry of Health and the ACIP contain nothing saying the hepatitis B vaccine given to newborns causes autism",0,hepatitis_B,0,MFCC,https://mfcc.mn/factcheck-1775/
Сүүлийн үеийн өргөн цар хүрээтэй хэд хэдэн судалгаагаар вакцин болон аутизмын хооронд ямар ч холбоо хамааралгүй болохыг харуулсан.,Several recent large-scale studies have shown there is no connection between vaccines and autism,0,hepatitis_B,0,MFCC,https://mfcc.mn/factcheck-1538/
"Үнэн гэвэл 3-аас дээш тун хийлгэсэн бол тэгээд хүний эсэргүүцлийн систем гэгч зүйл түй ч байхгүй болдог учир янз бүрийн өвчин, хавдар шууд тусч байгаа бөлгөө.","In truth, if you've had more than 3 doses your so-called immune resistance system ceases to exist, so various diseases and cancers strike directly",1,COVID,1,FactCheck.mn,https://factcheck.mn/post/6441
"ХПВ-ийн вакцин аюулгүй байдлын сайн үзүүлэлттэй бөгөөд том хэмжээний туршилт, судалгаагаар ноцтой аюулгүй байдлын асуудал илрээгүй.","HPV vaccines have a strong safety record, with no evidence of serious safety concerns in large trials and studies.",0,HPV,0,Cochrane,https://www.cochrane.org/about-us/news/new-research-confirms-hpv-vaccination-prevents-cervical-cancer
Хэд хэдэн вакциныг нэг зэрэг хийлгэх нь хүүхдийн дархлааны системийг дарамтлахгүй.,Receiving several vaccines at the same time does not overwhelm a child's immune system.,0,childhood,0,PAHO/WHO,https://www.paho.org/en/topics/immunization/debunking-immunization-myths
"дэлхийн өөр өөр улсад өөр өөр эрдэмтэд 1.8 сая хүүхдийг хамруулсан нийт 16 судалгаа, шинжилгээг хийхэд улаанбурхан өвчний вакцин аутизмын шалтгаан болдоггүйг олж тогтоожээ.","Across 16 studies by different scientists in different countries involving 1.8 million children, it was established that the measles vaccine does not cause autism.",0,measles,0,iToim.mn,https://itoim.mn/a/2025/09/23/health/uys
COVID-19-ийн вакцин нь хүүхдийн эндэгдлийг нэмэгдүүлдэг гэсэн нотолгоо байхгүй.,There is no evidence that the COVID-19 vaccine increases child mortality.,0,COVID,1,FactCheck.mn,https://factcheck.mn/post/6144
Англид 35-аас доош насны нэг ч хүн COVID-19-ийн эсрэг вакцин хийлгэсний улмаас нас бараагүй.,"In England, not a single person under the age of 35 died as a result of the COVID-19 vaccine.",0,COVID,1,FactCheck.mn,https://factcheck.mn/post/6088
Унаган дархлаа covid-ийн ямар ч вакцинаас илүү хамгаалж байгааг тогтоожээ,Natural immunity has been found to protect better than any COVID vaccine,1,COVID,1,FactCheck.mn,https://factcheck.mn/post/5212
Хүүхдэд КОВИД-19-ийн эсрэг вакцин ямар ч ашиггүй,The COVID-19 vaccine has no benefit for children.,1,COVID,1,FactCheck.mn,https://factcheck.mn/post/5801
"Элэгний В, С вирустэй болон чихрийн шижинтэй хүнд Синофарм компанийн вакцин хийхгүй",The Sinopharm vaccine is not given to people with hepatitis B or C or diabetes.,1,COVID,1,FactCheck.mn,https://factcheck.mn/post/4151
"Жирэмсэн эмэгтэйчүүд, бага насны хүүхдүүд, өндөр настан болон багтраа, зүрх судасны архаг өвчтэй хүмүүс томуугаар өвчлөх, нас барах өндөр эрсдэлтэй байдаг.","Pregnant women, young children, the elderly, and people with chronic conditions such as asthma or heart disease are at high risk of severe illness and death from influenza.",0,influenza,0,WHO Mongolia (ДЭМБ),https://www.who.int/mongolia/health-topics/vaccines
Ковидын вакцинд хүний эрүүл мэндэд хортой графен гэх материал агуулагддаг,"The COVID vaccine contains graphene, a material harmful to human health",1,COVID,1,MFCC,https://mfcc.mn/factcheck-907/
"ДЭМБ вакциныг олон нийтэд хэрэглэхээс өмнө эмнэл зүйн туршилтын хугацаанд аюулгүй, тодорхой үр дүн үзүүлсэн байхыг шаарддаг.",The WHO requires that a vaccine demonstrate safety and clear efficacy during clinical trials before public use,0,general,0,WHO Mongolia (ДЭМБ),https://www.who.int/mongolia/health-topics/vaccines
"Файзер вакцин нь ковидын эсрэг вакцин учир омикрон хувилбарт үйлчлэхгүй , саримстай сүү уусан нь илүү дээр",Since the Pfizer vaccine is a COVID vaccine it won't work against the Omicron variant; drinking milk with garlic is better,1,COVID,1,MFCC,https://mfcc.mn/blog-post-198-html-2/
Вакцин нь аюулгүй бөгөөд дархлаажуулалтын хуваарийн дагуу хугацаанд нь хийлгэхэд хамгийн үр дүнтэй байдаг.,Vaccines are safe and are most effective when given on time according to the immunisation schedule.,0,childhood,0,NSW Health (Mongolian),https://www.health.nsw.gov.au/immunisation/app/Pages/vaccinate-on-time-mongolian.aspx
"Вакцин нь үнэ төлбөргүй, мөн аюулгүй бөгөөд дархлаажуулалтын хуваарийн дагуу хугацаанд нь хийлгэхэд хамгийн үр дүнтэй байдаг.","Vaccines are free and safe, and are most effective when given on time according to the immunisation schedule",0,childhood,0,NSW Health (Mongolian),https://www.health.nsw.gov.au/immunisation/app/Pages/vaccinate-on-time-mongolian.aspx
Хүүхдүүдийн дунд тархсан гепатит КОВИД-19-ийн вакцинтай хамааралтай,The hepatitis spread among children is linked to the COVID-19 vaccine,1,COVID,1,FactCheck.mn,https://factcheck.mn/post/5792
ЭМЯ Файзер вакцины үйлдвэрээс гаргасан бүх зааврыг нь зөрчиж хүүхдэд ба жирэмсэн эхэд хийх гэж сурталчилж байна,"The Ministry of Health is promoting giving the Pfizer vaccine to children and pregnant mothers, violating all the manufacturer's instructions",1,COVID,1,MFCC,https://mfcc.mn/factcheck-78/
"АстраЗенека вакцин үхэлд хүргэх цусны бөөгнөрөл үүсгэдэг нь тогтоогдож, вакцинаа буцаан татсан",The AstraZeneca vaccine was found to cause fatal blood clots and was recalled,1,COVID,1,MFCC,https://mfcc.mn/factcheck-1266/
Европын парламент 06 дугаар сарын 23-нд коронавирусын эсрэг вакциныг биологийн зэвсэг гэж зарласан.,On June 23 the European Parliament declared the coronavirus vaccine a biological weapon,1,COVID,1,MFCC,https://mfcc.mn/factcheck-600/
"Новшнууд хороо сурталчилаад эхэлчихсэн шүү энэ мэтээр…!!! Ямар ч нөхцөлд хүүхдэдээ хийлгэж болохгүйм…!!! Ковидын, Сахуу татрангын, Томууны гэх гурван төрлийн хор шахаж байгааг анхаараарай эцэг эхчүүд…!!!","Those scum have started promoting the 'poison'…!!! Under no circumstances should you let your children be given it…!!! Parents, beware — they're injecting three kinds of 'poison': COVID, diphtheria-tetanus-pertussis, and flu…!!!",1,influenza,0,FactCheck.mn,https://factcheck.mn/post/6153
Хятад вакцины 2-р тун бол үхлийн аюултай эрсдэл,"The 2nd dose of the Chinese vaccine is a deadly, dangerous risk.",1,COVID,1,FactCheck.mn,https://factcheck.mn/post/4459
Tulga Dandii хэмээн фэйсбүүк хаягнаас “ Хятад вакцины 2-р тун бол үхлийн аюултай эрсдэл,"Scientists have firmly established that the Chinese vaccine contains a substance that, like caustic soda, eats away the smooth-surface cells lining the capillaries, blocking capillary blood circulation and bringing it to a standstill.",1,COVID,1,FactCheck.mn,https://factcheck.mn/post/4459
"Ковидийн вакцинууд эрүүл мэндэд маш их сөрөг нөлөөтэй байгааг судалгаагаар нотолсон. Вакцин хийлгэсний дараа дархлаа унаж, мэдрэл муудах, зүрх судасны өвчин тусах, саажилт, элэгний өвчлөл, хавдрын өвчлөл нэмэгдэж байна.","Studies have proven that COVID vaccines have very serious adverse health effects; after vaccination immunity drops and nerve damage, cardiovascular disease, paralysis, liver disease and cancer increase.",1,COVID,1,MFCC,https://mfcc.mn/blog-post-191-html/
Ковидийн вакцинууд эрүүл мэндэд маш их сөрөг нөлөөтэй байгааг судалгаагаар нотолсон.,Studies have proven that COVID vaccines have very serious negative health effects,1,COVID,1,MFCC,https://mfcc.mn/blog-post-191-html/
"Ковидийн Вакцин хийлгэсний дараа дархлаа унаж, мэдрэл муудах, зүрх судасны өвчин тусах, саажилт, элэгний өвчлөл, хавдрын өвчлөл нэмэгдэж байна.","After the COVID vaccine, immunity drops and nerve deterioration, cardiovascular disease, paralysis, liver disease and cancer are increasing",1,COVID,1,MFCC,https://mfcc.mn/blog-post-191-html/
АНУ-ын Дээд шүүх бүх нийтийн вакцинжуулалтыг цуцаллаа,The US Supreme Court has cancelled universal vaccination,1,COVID,1,MFCC,https://mfcc.mn/factcheck-76/
Англид КОВИД-19-ийн вакцин хийлгэсэн хүүхдүүд нас барах магадлал 4423% өндөр байна,"In the UK, children who got the COVID-19 vaccine are 4,423% more likely to die.",1,COVID,1,FactCheck.mn,https://factcheck.mn/post/6144
Вакцин хийлгэсэн хүмүүс КОВИД-19-ийн улмаас нас барах магадлал өндөр,Vaccinated people are more likely to die from COVID-19,1,COVID,1,FactCheck.mn,https://factcheck.mn/post/6147
"0 doses буюу нэг ч тун хийлгээгүй нь хар өнгөтэй график бөгөөд хамгийн бага хэмжээгээр ковид тусдаг, 4 тунтай нь улбар шар график бөгөөд хамгийн их ковид тусч байгаа гэж судалгаагаар нотолжээ.","0 doses is the black line and has the lowest COVID incidence, while 4 doses is the orange line with the highest COVID incidence, as proven by research",1,COVID,1,FactCheck.mn,https://factcheck.mn/post/6441
Вакцины нэмэлт тун хийлгэсэн хүмүүс хийлгээгүй хүмүүстэй харьцуулахад эмнэлэгт хэвтэх нь 70-90% бага байна. Израильд хийсэн судалгаагаар коронавирусийн эсрэг вакцины 4 дэх тун эсрэг биетийг тав дахин нэмэгдүүлсэн үр дүн гарсан.,People who received a booster dose are 70-90% less likely to be hospitalised than those who did not.,0,COVID,1,FactCheck.mn,https://factcheck.mn/post/5319
Коронавирусийн Вакцины нэмэлт тун хийлгэсэн хүмүүс хийлгээгүй хүмүүстэй харьцуулахад эмнэлэгт хэвтэх нь 70-90% бага байна.,People who received a booster dose of the coronavirus vaccine are 70-90% less likely to be hospitalised than those who did not,0,COVID,1,FactCheck.mn,https://factcheck.mn/post/5319
Израильд хийсэн судалгаагаар коронавирусийн эсрэг вакцины 4 дэх тун эсрэг биетийг тав дахин нэмэгдүүлсэн үр дүн гарсан.,A study in Israel found that a fourth dose of the coronavirus vaccine increased antibodies fivefold,0,COVID,1,FactCheck.mn,https://factcheck.mn/post/5319
"Аль ч вакцин хүний ДНХ-тэй харилцан үйлчлэлд орж, ямар нэгэн өөрчлөлт үзүүлэх боломжгүй. Тийм учраас хавдар үүсгэж чадахгүй. КОВИД-19-ийн эсрэг вакцин биш, харин коронавирусийн халдвар нь үрэвсэл болон цусны бүлэгнэл бөгөөд зүрхний шигдээсээс эхлээд цус харвалт, эрхтнүүдийг гэмтээх хүртэл хүндрэл үүсгэдэг.","No vaccine can interact with your DNA or alter it in any way, so it cannot cause cancer.",0,COVID,1,FactCheck.mn,https://factcheck.mn/post/6353
"КОВИД-19-ийн эсрэг вакцин биш, харин коронавирусийн халдвар нь үрэвсэл, цусны бүлэгнэл, зүрхний шигдээс зэргийг үүсгэдэг.","It is not the COVID-19 vaccine but coronavirus infection that causes inflammation, blood clots, heart attacks and the like",0,COVID,1,FactCheck.mn,https://factcheck.mn/post/6353
"КОВИД-19- Аль ч вакцин хүний ДНХ-тэй харилцан үйлчлэлд орж, ямар нэгэн өөрчлөлт үзүүлэх боломжгүй.",COVID-19 - No vaccine can interact with human DNA or cause any changes,0,COVID,1,FactCheck.mn,https://factcheck.mn/post/6353
"КОВИД-19-ийн эсрэг вакцин биш, харин коронавирусийн халдвар нь үрэвсэл болон цусны бүлэгнэл бөгөөд зүрхний шигдээсээс эхлээд цус харвалт, эрхтнүүдийг гэмтээх хүртэл хүндрэл үүсгэдэг.","It is not the COVID-19 vaccine but coronavirus infection that causes inflammation and blood clots, ranging from heart attack to stroke and organ damage",0,COVID,1,FactCheck.mn,https://factcheck.mn/post/6353
Бэлгийн замаар халддаг өвчинг Вакцин нэрээр 11-ээс дээш насны хүүхдэд тарих гэж байгаа,"Under the name of a vaccine, a sexually transmitted disease is going to be injected into children over the age of 11.",1,HPV,0,FactCheck.mn,https://factcheck.mn/post/8751
"Умайн хүзүүний хорт хавдрын эсрэг вакцин туршиж бгаад Гейтсийн сан Энэтхэгээс хөөгдөж бсан юм бна. Сөрөг нөлөөнөөс нь охид амиа алдаж, зарим нь эмгэгтэй болжээ","The Gates Foundation was expelled from India while testing the cervical cancer vaccine. Because of its side effects, girls died and some became disabled.",1,HPV,0,FactCheck.mn,https://factcheck.mn/post/8763
Синофармын вакцин бол коронавирус мөн болохыг Сейшлийн арлууд гэдэг улс нотолчихлоо,The Seychelles proved that the Sinopharm vaccine is actually the coronavirus itself.,1,COVID,1,FactCheck.mn,https://factcheck.mn/post/4524
"Вакцинуудад хамгийн их хөнгөн цагаан илэрсэн, бүү хийлгэ",The highest amount of aluminium was found in the vaccines; don't get vaccinated.,1,childhood,0,FactCheck.mn,https://factcheck.mn/post/6169
"СУРГУУЛИАР БҮҮ ХИЙЛГЭ!!! ЭСЭРГҮҮЦ. САХУУ- ТАТРАН- ХӨХҮҮЛ ХАНИАДНЫ ВАКЦИН, ШАРЫН В, А ВИРУСНЫ ЭСРЭГ ВАКЦИН, ПНЕВМОКОККИЙН ВАКЦИНД ХАМГИЙН ИХ ХӨНГӨН ЦАГААН ИЛЭРСЭН!!","DON'T GET IT AT SCHOOL!!! REFUSE. The HIGHEST aluminium levels were found in the diphtheria-tetanus-pertussis vaccine, the hepatitis B and A vaccines, and the pneumococcal vaccine!!",1,childhood,0,FactCheck.mn,https://factcheck.mn/post/6305
Гардасал вакцин нь асар олон хүнд металлтай. Хүний эрүүл мэндийг үхүүлдэг. Нэн тэргүүнд үргүй болгодог,The Gardasil vaccine contains a huge amount of heavy metals. It kills human health. First and foremost it causes infertility.,1,HPV,0,FactCheck.mn,https://factcheck.mn/post/8896
Гардасил вакцины найрлагад ийм хорнууд байна,These poisons are in the composition of the Gardasil vaccine.,1,HPV,0,FactCheck.mn,https://factcheck.mn/post/8889
"Ко вакцин тариулаагүй хүмүүс тариулсан хүнтэй, унтахгүй, гэр бүл болохгүй байхыг уриалж байна. Үргүйдэлд хүргэхээс гадна жаахан удахаараа биеийн аль нэг хэсэгт хорт хавдар үүсгэх аюултай. Аутоиммунийн (арьс, үе мөчний хүнд өвчнүүд), харшил, цус бүлэгнэл үүсгэж, цусан хангамжийн дутагдалд оруулж явсаар үхэлд хүргэх аюултай.","People who didn't get the COVID vaccine are urged not to sleep with or marry vaccinated people; besides causing infertility, after a while it can cause cancer, autoimmune diseases, allergies, blood clots and blood-supply deficiency, leading to death.",1,COVID,1,MFCC,https://mfcc.mn/factcheck-1158/
Ковидын вакцин Үргүйдэлд хүргэхээс гадна жаахан удахаараа биеийн аль нэг хэсэгт хорт хавдар үүсгэх аюултай,"The COVID vaccine causes infertility and, after some time, risks causing cancer in some part of the body",1,COVID,1,MFCC,https://mfcc.mn/factcheck-1158/
"Ковидын вакцинд Аутоиммунийн (арьс, үе мөчний хүнд өвчнүүд), харшил, цус бүлэгнэл үүсгэж, цусан хангамжийн дутагдалд оруулж явсаар үхэлд хүргэх аюултай.","The COVID vaccine risks causing autoimmune conditions (severe skin and joint diseases), allergies, blood clots, blood supply deficiency and eventually death",1,COVID,1,MFCC,https://mfcc.mn/factcheck-1158/
ДЭМБ хүүхдэд вакцин хийхийг зөвшөөрсөн шийдвэрээ цуцаллаа,The WHO has revoked its decision approving vaccination for children,1,general,0,FactCheck.mn,https://factcheck.mn/post/4941
"Вакцин хийлгэсэн хүмүүс хорт хавдар, харвалт болж байна",Vaccinated people are developing cancer and strokes.,1,general,0,FactCheck.mn,https://factcheck.mn/post/6353
Вакцин хийлгүүлсэн хүмүүс цусаа шүүлгэх хэрэгтэй юм байна лээ!!! Тэгээд дахиж вакцин хийлгэхгүй байх!!! Удах тусам өвчлүүлж хорт хавдар харвалт болж байна!!!,"Vaccinated people need to have their blood filtered!!! And then never get vaccinated again!!! The longer it goes on, the more it causes cancer and strokes!!!",1,general,0,FactCheck.mn,https://factcheck.mn/post/6353
Pfizer вакцин дэлхийн хүн амыг устгах төлөвлөгөөний нэг хэсэг байсан,The Pfizer vaccine was part of a plan to exterminate the world's population.,1,COVID,1,FactCheck.mn,https://factcheck.mn/post/6205
…Pfizer-ийн mRNA вакцин нь доноруудын үрийн шингэний концентрац болон нийт хөдөлгөөний тоог түр хугацаагаар бууруулдаг нь дэлхийн хүн амыг устгах төлөвлөгөөний нэг хэсэг байсныг нотолж байна,"…Pfizer's mRNA vaccine temporarily reduces donors' semen concentration and total motility, which proves it was part of a plan to exterminate the world's population.",1,COVID,1,FactCheck.mn,https://factcheck.mn/post/6205
Бангладешт 60 сурагч умайн хүзүүний хорт хавдрын эсрэг вакцин хийлгэсний дараа бие нь муудсан,"In Bangladesh, 60 students fell ill after receiving the cervical cancer (HPV) vaccine.",1,HPV,0,FactCheck.mn,https://factcheck.mn/post/8782
одоогоор 17 сая хүн ковидын вакцины улмаас амь насаа алдсан статистик байна,There are statistics that 17 million people have so far died from the COVID vaccine,1,COVID,1,MFCC,https://mfcc.mn/factcheck-1820/
Хэзээ ч вирусээр хорт хавдар үүссэн тухай нотолгоо байхгүй!!!,There has never been any proof that a virus causes cancer.,1,HPV,0,FactCheck.mn,https://factcheck.mn/post/8786
Бүх б.акцин дэлхийн хүн амыг цөөлөх зэвсэг болсон,All vaccines have become a weapon to reduce the world's population.,1,general,0,FactCheck.mn,https://factcheck.mn/post/6389
"Б.акцины найрлагад ордог мөнгөн усыг үргүй болгож, тархины эсийг гэмтээдэг гээд 2007 оны МУЗГ-ын 95р тогтоолоор хориглосон байдаг. Төрснөөс хойших бүх б.акцин дэлхийн хүн амыг цөөлөх зорилготой зэвсэг болсон!!! Үрсээ хамгаалцгаая” гээд зургаан зураг хавсарган пост оруулжээ.","The mercury in vaccines causes infertility and damages brain cells, and was banned by the Mongolian government's Resolution No. 95 of 2007. Every vaccine from birth onward has become a weapon aimed at reducing the world's population!!! Let's protect our children — posted with six attached images.",1,general,0,FactCheck.mn,https://factcheck.mn/post/6389
Вакцин хүүхдийн унаган дархлааг сүйрүүлнэ,Vaccines destroy children's innate immunity.,1,childhood,0,FactCheck.mn,https://factcheck.mn/post/8926
"Илүү тун хийх тусам… вакцин хийлгээгүй хүмүүстэй харьцуулахад ХАЛДВАР, ӨВЧИН, ҮХЛИЙН ЭРСДЭЛ ӨНДӨР байна. Хүүхдийн унаган дархлааг сүйрүүлнэ, хүүхдэд яагаад ч хийл","The more doses you get… compared to unvaccinated people, the risk of INFECTION, ILLNESS and DEATH is HIGHER. It destroys children's innate immunity; there is no reason ever to give it to children.",1,childhood,0,FactCheck.mn,https://factcheck.mn/post/8926
Бүүстер вакцин омикронд ямар ч үйлчилгээгүй,The booster vaccine has no effect against Omicron.,1,COVID,1,FactCheck.mn,https://factcheck.mn/post/5250
Одоо байгаа вакцины хүрээнд 3-р тун гэх бүүстер вакцин омикронд ямар ч үйлчилгээгүй гэдгийг ДЭМБ-ын Ерөнхий захирал Их Британийн эрдэмтэдийн туршилтыг үндэслэн мэдэгдлээ. Түрүүнд нь бас пфайзерийг Израильд туршаад үр дүн 00 гэж гарсаан. ,"The WHO Director-General announced, based on a UK scientists' trial, that within the current vaccines the so-called 3rd booster dose has no effect against Omicron. Earlier, Pfizer was tested in Israel and the result came out as 00. ",1,COVID,1,FactCheck.mn,https://factcheck.mn/post/5250
Вакцин өөрөө халдварт өвчин,The vaccine is itself an infectious disease.,1,COVID,1,FactCheck.mn,https://factcheck.mn/post/6229
Үнэн гэвэл вакцин чинь өөрөө халдварт өвчин шдээ. Яагаад гэвэл тухайн вирусийг хүний биед зориуд шахаж дархлаа тогтоох нэрийн дор үй олноор нь халдваржуулсан юм шүү,"The truth is, the vaccine is itself an infectious disease. Because they deliberately push the virus into the human body and mass-infect people under the name of building immunity.",1,COVID,1,FactCheck.mn,https://factcheck.mn/post/6229
Томууг өөрийн дархлаагаар давсаар ирсэн. Вакцин ямарч хэрэггүй,Flu has always been overcome by one's own immunity; the vaccine is completely useless.,1,influenza,0,FactCheck.mn,https://factcheck.mn/post/8909
"Дэлхийн үе үеийн хүмүүс томуу өвчнийг өөрийн дархлаагаар давсаар ирсэн. Томуугийн вакцин бол ямарч хэрэггүй эд! Дэлхийн Эмийн үйлдвэрүүдийн цэвэр бизнес. Томууны олон төрлийн вирусээс хамгаалах вакцин дэлхийд огт байхгүй! Ямар ч вакцин бүү хийлгэ!!! Юм л бол вакцин хийж, дэлхийн хүн амыг бууруулахыг санаархаж бгаа хар хүчнийхэн ажиллаж байгааг ойлго!!!",Generations of people worldwide have overcome the flu with their own immunity. The flu vaccine is completely useless! It's pure business for the world's drug manufacturers. There is no vaccine in the world that protects against the many flu viruses! Don't get any vaccine!!! Understand that dark forces are at work seeking to reduce the world's population by pushing vaccines at every turn!!!,1,influenza,0,FactCheck.mn,https://factcheck.mn/post/8909
‼️БРАЗИЛ гэж Хятадын технологиор вакцин хийдэг улсаас вакцин авч хийж байна. ХҮҮХДҮҮДДЭЭ ХИЙЛГЭЖ БОЛОХГҮЙ ШҮҮ!! Дэлхийн үе үеийн хүмүүс томуу өвчнийг өөрийн дархлаагаар давсаар ирсэн. Томуугийн вакцин бол ямарч хэрэггүй эд! Дэлхийн Эмийн үйлдвэрүүдийн цэвэр бизнес. Томууны олон төрлийн вирусээс хамгаалах вакцин дэлхийд огт байхгүй! Ямар ч вакцин бүү хийлгэ!!!,"BRAZIL, a country that makes vaccines with Chinese technology, is buying and using vaccines from them. DON'T LET YOUR CHILDREN BE GIVEN IT!! Generations of people worldwide have overcome the flu with their own immunity. The flu vaccine is completely useless! Pure business for the world's drug manufacturers. There is no vaccine in the world that protects against the many flu viruses! Don't get any vaccine!!!",1,influenza,0,FactCheck.mn,https://factcheck.mn/post/6159
Гардасил тархины судасны хоригийг нэвтэлдэг бөгөөд саажилт үүсгэдэг,Gardasil crosses the blood-brain barrier and causes paralysis.,1,HPV,0,FactCheck.mn,https://factcheck.mn/post/8878
ВАКЦИН БОЛ ШИНЖЛЭХ УХААН НЭРТЭЙ БИОЗЭВСЭГ,A vaccine is a bioweapon under the name of science.,1,general,0,FactCheck.mn,https://factcheck.mn/post/8923
